Index;Quantity;Part Number;Manufacturer Part Number;Description;Customer Reference;Available;Backorder;Unit Price;Extended Price USD
1;20;311-1088-1-ND;CC0603KRX7R7BB104;CAP CER 0.1UF 16V X7R 0603;;20;0;0.042;0.84
2;20;1276-2310-1-ND;CL10C510JB8NNNC;CAP CER 51PF 50V C0G/NP0 0603;;20;0;0.041;0.82
3;4;311-4019-1-ND;CC0603JRX7R9BB473;CAP CER 0.047UF 50V X7R 0603;;4;0;0.1;0.40
4;2;311-1446-1-ND;CC0603KRX7R7BB105;CAP CER 1UF 16V X7R 0603;;2;0;0.14;0.28
5;6;1276-1038-1-ND;CL10A106KQ8NNNC;CAP CER 10UF 6.3V X5R 0603;;6;0;0.13;0.78
6;2;490-7611-1-ND;GRM188R60J226MEA0D;CAP CER 22UF 6.3V X5R 0603;;2;0;0.22;0.44
7;2;160-1405-1-ND;LTST-C150KRKT;LED RED CLEAR 1206 SMD;;2;0;0.33;0.66
8;2;1080-1461-1-ND;EAHC2835WD6;LED COOL WHITE 6500K 2SMD;;2;0;0.39;0.78
9;2;1516-1269-1-ND;QBLP650-IR3;LED CHIP IR WLP 850NM 1206 SMD;;2;0;0.66;1.32
10;2;1080-1350-1-ND;IR11-21C/TR8;EMITTER IR 940NM 65MA 1206;;2;0;0.47;0.94
11;1;1125-1342-ND;MTSM5010-199-IR;SWIR EMITTER 1050NM 1206 SMD;;1;0;18.02;18.02
12;1;5242-OIS-1501300N-X-TCT-ND;OIS-150 1300N-X-T;SWIR EMITTER 1300NM 1206 SMD FLA;;1;0;7.09;7.09
13;1;1125-MTSM6014-194-IRCT-ND;MTSM6014-194-IR;SWIR EMITTER 1460NM 1206 SMD;;1;0;11.91;11.91
14;1;5242-OIS-1501550N-X-TCT-ND;OIS-150 1550N-X-T;SWIR EMITTER 1550NM 1206 SMD FLA;;1;0;7.09;7.09
15;1;1125-1354-ND;MTSM5016-199-IR;SWIR EMITTER 1650NM 1206 SMD;;1;0;20.36;20.36
16;1;1125-MTSM0012-194-IRCT-ND;MTSM0012-194-IR;SWIR EMITTER 1200NM 1206 SMD;;1;0;11.91;11.91
17;2;BSS138DW-FDICT-ND;BSS138DW-7-F;MOSFET 2N-CH 50V 0.2A SOT363;;2;0;0.46;0.92
18;20;311-240KHRCT-ND;RC0603FR-07240KL;RES 240K OHM 1% 1/10W 0603;;20;0;0.019;0.38
19;20;P301HCT-ND;ERJ-3EKF3010V;RES SMD 301 OHM 1% 1/10W 0603;;20;0;0.03;0.60
20;2;4988-NRC12ZOTRFCT-ND;NRC12ZOTRF;RES SMT12060M2A;;2;0;0.11;0.22
21;20;311-10KGRCT-ND;RC0603JR-0710KL;RES 10K OHM 5% 1/10W 0603;;20;0;0.015;0.30
22;20;311-1.00KHRCT-ND;RC0603FR-071KL;RES 1K OHM 1% 1/10W 0603;;20;0;0.019;0.38
23;20;P43.00BZCT-ND;ERJ-PA3J430V;RES SMD 43 OHM 5% 1/3W 0603;;20;0;0.056;1.12
24;2;NAU7802SGI-ND;NAU7802SGI;IC ADC 24BIT SIGMA-DELTA 16SOP;;2;0;1.73;3.46
25;1;1125-MTSM2601SMF1-100-ND;MTSM2601SMF1-100;SENSOR PHOTODIODE 800-2600NM SMD;;1;0;32.12;32.12
26;2;296-36508-1-ND;TLC59208FIPWR;IC LED DRVR LIN PWM 50MA 16TSSOP;;2;0;1.87;3.74
27;1;AS7341-DLGTCT-ND;AS7341-DLGT;SENSOR OPT AMBIENT 8OLGA;;1;0;9.36;9.36
28;1;1125-MTSM1346SMF1-100-ND;MTSM1346SMF1-100;SENSOR PHOTODIODE 1300NM 6SMD;;1;0;29.03;29.03
29;2;AP2120N-2.5TRG1DICT-ND;AP2120N-2.5TRG1;IC REG LINEAR 2.5V 150MA SOT23;;2;0;0.38;0.76
30;2;50-ECS-2520MVLC-049-BN-CT-ND;ECS-2520MVLC-049-BN-TR;XTAL OSC XO 4.9152MHZ CMOS SMD;;2;0;1.16;2.32
31;2;AP2125N-1.8TRG1DICT-ND;AP2125N-1.8TRG1;IC REG LINEAR 1.8V 300MA SOT23-3;;2;0;0.37;0.74
32;10;1276-1008-1-ND;CL10C101JB8NNNC;CAP CER 100PF 50V C0G/NP0 0603;;10;0;0.026;0.26
33;4;296-22564-1-ND;OPA2376AIDR;IC OPAMP GP 2 CIRCUIT 8SOIC;;4;0;2.74;10.96
34;4;455-SM04B-SRSS-TBCT-ND;SM04B-SRSS-TB;CONN HEADER SMD R/A 4POS 1MM;;4;0;0.6;2.40
